Title,Alternate title,Genre,Primary Source Verification,Notes,Production Company,Production date,Distribution date,Length (reels),Actors,Directors,Producers,Camerawork,Attachments,Source,Writer,Otherwise Involved,Link to media,Distributor
Easy Street,,Drama,,Unable to Verify ,Micheaux Film Corporation,1/1/30,1/1/30,5,"Harrison,Tucker,Guilford,Clayton,Russell",Micheaux,Burton,,,"Slow Fade to Black,""African American Films Through 1959: A Comprehensive, Illustrated Filmography"",Oscar Micheaux and His Circle",Micheaux,,,Micheaux Film Corporation
Eddie Green's Rehearsal,,Comedy,,Unable to verify,,1/1/16,1/1/16,,Green,Green,Green,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Eleven P.M.,,Drama,,Unable to Verify,Maurice Film Company,1/1/28,1/1/28,6,"Maurice,Pope,Lane,Williams",Maurice,Maurice,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Escapades of Estelle,,Comedy,,Unable to Verify ,Mutual Film Corporation,1/1/16,1/1/16,1,,Palmer,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Eyes of Youth,,,out.pdf (https://dl.airtable.com/LWhKOenSJKvCj7fwJlKf_out.pdf),,Quality Amusement Company,1/1/20,1/1/20,,Mitchell,,Levy,,,"""The 'Reol' Story: Race Authorship and Consciousness in Robert Levy's Reol Productions, 1921-1926""",,,,
Eyes of Youth,,,,"Box 14Unable to verify",Quality Amusement Company,1/1/20,,,Mitchell,,,,,George P. Johnson Negro Film Collection,,,,
Festival,,,,"Box 14Unable to verify",,,,,,,,,,George P. Johnson Negro Film Collection,,,,
Fighting His Way Thru,,,,"Unable to Verify ",Superior Arts Motion Picture Company,1/1/23,1/1/23,,,,Dorsey,,,Richard E. Norman and Race Filmmaking,,,,
Fighting Love,,Drama,fighting love.pdf (https://dl.airtable.com/C3DcHIKWSrKoHEluIyTO_fighting%20love.pdf),"Box 14""25 colored actors used""",,1/1/27,,,Dix,Chrisander,,,,George P. Johnson Negro Film Collection,,,,
Fish,,Comedy,,Unable to Verify,Biograph,1/1/16,1/1/16,1,Williams,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,General Film Company
Fixing the Faker,,Comedy,,Unable to Verify,Ebony Film Corporation,1/1/18,1/1/18,,"Robinson,Jacks,Starks,Mason,Murphy,Skekeeter,Price,Brogsdale,Duree",,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,General Film Company
Flames of Wrath,,,Flames of Wrath.pdf (https://dl.airtable.com/zvAG7WCrRumcNclpE7DS_Flames%20of%20Wrath.pdf),"Box14, GPJ Collection",Western Film Production Company,1/1/23,,5,,Williams,,,,George P. Johnson Negro Film Collection,,,,
Florida Crackers,,Drama,,,Kalem Studio,1/1/21,1/1/21,,,Foster,Foster,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Fool and Fire,,Drama,,"Included in prospectus for Foster Co. but not clear whether produced. --MP, per Field",Foster Photoplay Company,1/1/18,1/1/18,5,,Foster,Foster,,,"The Ambitions of William Foster,""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,Foster Photoplay Company
Foolish Lives,,"Drama,Comedy",,Unable to Verify,Young Producers Filming Corporation,1/1/21,1/1/21,,"Chatman,Harris,Carter,Cox,Patterson,Patton",,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Foolish Wives,,,,"B53, F28",Famous Artist Film Company,,,,,,,,,George P. Johnson Negro Film Collection,,,,
For His Mother's Sake,,"Drama,Boxing",out (2).pdf (https://dl.airtable.com/AFEvCW7wRTmTSsK5AtAI_out%20(2).pdf),"Box 4, Blackburn Velde Productions Folder, GPJ Collection.",Blackburn Velde Productions,1/1/21,1/1/21,5,"Johnson,Joyce,Wilkes,Walker",,,,,"George P. Johnson Negro Film Collection,Blacks in Black and White",,,,
For the Honor of the 8th Ill. U.S.A.,,Actuality,out.pdf (https://dl.airtable.com/T7l58ASQR6Gl2WRLDVXo_out.pdf),"Display ad 1 -- no title. (1914, Sep 12). The Chicago Defender (Big Weekend Edition) (1905-1966)",Peter P. Jones Photoplay Ltd.,1/1/18,,,,,,Jones,,"The Ambitions of William Foster,Envisioning Freedom: Cinema and the Building of Modern Black Life",,,,
Fowl Play,,,,"A PathÃ© short film. Foster's role is not clear. (Field 2016, 67)Unable to Verify",PathÃ©,1/1/29,,,,,,,,The Ambitions of William Foster,Foster,,,
From Champion to Tramp,,,,,Lubin Manufacturing Company,1/1/15,6/17/15,,"Johnson,Fielding",,,,,,,,,
From Cotton Patch to Congress,,,,"Box 53, F28",Baccus Film Company,,,,,,,,,George P. Johnson Negro Film Collection,,,,
From Harlem to the Rhine,,,,,,,,,,,,,,Slow Fade to Black,,,,
Gang Smashers,,,,,Million Dollar Productions,1/1/38,,,"McKinney,Criner,Hawley,Thompson,Moreland,McCalla,Fenderson,Ray,Criner,Hawkins,Peoples,Morrow,Flemings,Jenkins,Wilkins,Brown",Popkin,Popkin,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Gang War,,,,,Million Dollar Productions,1/1/39,,,"Cooper,Snyder,Fenderson,Criner,Hawley,Brooks,Thomas,Sheffield,Hawkins,Johnson,Roberts,Garrison",Popkin,Sanforth,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Gayety,,,,,Vitaphone,1/1/29,,,"Brooks,Harrington,Anderson",,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
George Dewey Washington #1,,,,,MGM,1/1/28,,,Washington,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
George Dewey Washington #2,,,,,MGM,1/1/29,,,Washington,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
George Dewey Washington #3,,,,,MGM,1/1/29,,,Washington,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
George Dewey Washington #4,,,,,MGM,1/1/29,,,Washington,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
George Dewey Washington #5,,,,,MGM,1/1/30,,,Washington,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Georgia Rose,,,,,Rosebud Film Corporation,1/1/30,,,"Brooks,Preer,Wilson,Hyson,Anderson,Thompson,King,Williams,Johnson,Dyer,Washington",Grant,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Ghost of Tolson's Manor,,,,,Micheaux Film Corporation,1/1/34,,8,"Bishop,Chenault,Motton,Hawley,Tatum,Stewart,Crowell,Howard,Anderson,Anthony,Smallwood,Thompson,Brown,Professor Hosay'",Micheaux,Russell,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Ghosts,,,,,Ebony Film Corporation,1/1/17,,2,"Robinson,Starks,Mason,Murphy,Skekeeter,Price,Brogsdale,Duree,Pollard,Junior",,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Gifts in Rhythm,,,,,Educational Film Corporation,1/1/36,,1,Howard,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Gig and Saddle,,,,,Goldberg Productions,1/1/33,,,"Millinder,Dandridge,Williams,DeGaston,Higgins,Byrd",,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Gluttonous Negro,,,,,PathÃ©,1/1/05,,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Golden Pearls of Progress,,,,,Exquisite Productions,,,,,,,,,Blacks in Black and White,,,,
Golden Pearls of Progress,,,,,Exquisite Productions,1/1/19,,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Good Luck in Old Clothes,,,,,Ebony Film Corporation,1/1/18,,,"Robinson,Jacks,Starks,Mason,Murphy,Skekeeter,Price,Brogsdale,Duree,Pollard",,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Grandma Bernie Learns Her Letters,,,clipping_5221212.pdf (https://dl.airtable.com/ztGwz1YHR1Ckc2E4dgTf_clipping_5221212.pdf),,Fox,1/1/27,1/1/27,,Baker,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography"",Primary Source",,,,
Hall Johnson Choir in a Syncopated Sermon,,,,,Warner Brothers,1/1/35,,1,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Hallelujah,,,,,Metro-Goldwyn-Mayer,1/1/29,,,"Haynes,McKinney,Fountaine,Garrity,Spivey,Gray,DeKnight,Dickerson,Couch,Tait,Forbes Randolf Kentuck Jubilee Singers,Herman",Vidor,Vidor,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Ham and Eggs,,,,,Warner Brothers,1/1/27,,6,"Wilson,Conklin,Loy,Irving,Young",,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Harlem After Midnight,,,,,Micheaux Film Corporation,1/1/34,,,"Tucker,Van Engle,Freeman,Chester,Ingram,Chenault,DeComathiere",,Russell,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Harlem Harmony,,,,,Educational Film Corporation,1/1/35,,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Harlem Knights,,,,,Vitaphone,1/1/29,,,"Miller,Lyles",,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Harlem Mania,,,,,Vitaphone,1/1/29,,,"Miller,Lyles,Quintette",,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Harlem Rides The Range,,,,,Hollywood Productions,,,,"Jeffrey,Brooks,Miller,Young,Williams,Brooks,Southern ,Tones",,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Harry Wills in Training,,,,,Acme Film Distribution Corporation,,,,Wills,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Harry Wills in Training,,,,,Acme Film Distribution Corporation,1/1/24,,,Wills,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Haynes Newsreel No. 1,,,,,Hunter C. Haynes Photoplay Company,1/1/14,,,"Langford,Walcott",Haynes,Haynes,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Haynes Newsreel No. 2,,,,,Hunter C. Haynes Photoplay Company,1/1/16,,,,Haynes,Haynes,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Haynes Newsreel No. 3,,,,,Hunter C. Haynes Photoplay Company,1/1/17,,,"Langford,Walcott",Haynes,Haynes,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Hazel Green and Company,,,,,Vitaphone,1/1/28,,,,Foy,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
He Was Bad,,,,,Lubin Manufacturing Company,1/1/14,,,"Edwards,Edwards,Higgins,Pennall,Carns",Lubin,Lubin,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Heart of Dixie,,,,"See GPJ Collection, Box 3, Billbrew, Mrs. A.C. folder. --MP",20th Century - Fox Flim,1/1/29,,,"Muse,Fetchit,Washington,Jackson,Smith,William,Pilot,Howard,Ingram",,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography"",George P. Johnson Negro Film Collection",Billbrew,,,
Hearts of the Woods,,Drama,,,Superior Arts Motion Picture Company,1/1/21,1/1/21,,"Harris,McGuire,Pierson,Allen,Gibson",Calnek,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Hello Bill,,,,,,1/1/29,,,Robinson,,,,,Blacks in Black and White,,,,
Heroic Colored Soldiers of the War,,Actuality,,"Box 19, Heroic Colored Soldiers of the War folder, GPJ Collection. --MP Shown in Chicago theatre",Frederick Douglass Film Company,1/1/19,1/1/19,,,,,,,George P. Johnson Negro Film Collection,,,,
Heroic Colored Soldiers of the War,,,,Unable to verify with Newspapers.com. --MP,Frederick Douglass Film Company,1/1/19,,,,,,,,George P. Johnson Negro Film Collection,,,,
High Toned,,Comedy,"clipping_5211551.pdf (https://dl.airtable.com/duOUn9mlS1CcGdbiuRPa_clipping_5211551.pdf),clipping_5211585.pdf (https://dl.airtable.com/on2c2DfESOiJfBrH9UwJ_clipping_5211585.pdf)","A PathÃ© short film. Foster's role is not clear. (Field 2016, 67)See ad: Daily Capital Journal (Salem, Oregon) Â· Mon, Jun 9, 1930 Â· Page 2.",PathÃ©,1/1/29,,,,,,,,The Ambitions of William Foster,Foster,,,
His Great Chance,The Great Chance,Drama,clipping_5211630.pdf (https://dl.airtable.com/XOTqhBmkTGKpbjfJUU3v_clipping_5211630.pdf),"GPJ Collection, Box 19, His Great Chance Folder. --MPThe New York Age (New York, New York) Â· Sat, May 12, 1923 Â· Page 6",North State,1/1/23,1/1/23,5,"Burns,Smart,Moore,Moore,Hart,Burns,Russell,Slater,Long",Strasser,,,,"Slow Fade to Black,George P. Johnson Negro Film Collection,Blacks in Black and White",,,,
Home Brew,,Comedy,clipping_5211858.pdf (https://dl.airtable.com/aVkKxCQdTzq4LMOwg7kj_clipping_5211858.pdf),"Not clear if this was produced -- clipping says it was proposed. Box 19, Home Brew folder, GPJ collection. --MPAd for Home Brew in The Capital Times (Madison, Wisconsin) Â· Thu, Nov 6, 1919 Â· Page 6, but listed as a ""Christie Comedy."" --MPAlso a Paramount comedy advertised in The Winnipeg Tribune (Winnipeg, Manitoba, Canada) 19 Feb 1921, Sat â€¢ Page 26, featuring Louise Fazenda and Billy Beven. --MP",Maurice Film Company,1/1/20,1/1/20,2,,,,,,George P. Johnson Negro Film Collection,,,,
Honest Crooks,,Comedy,clipping_5212049.pdf (https://dl.airtable.com/g0LSjhAbQSaMCbczu4hH_clipping_5212049.pdf),"A PathÃ© short film. Foster's role is not clear. (Field 2016, 67)See ad in The Kokomo Tribune (Kokomo, Indiana) Â· Fri, Jul 18, 1930 Â· Page 20.",PathÃ©,1/1/29,7/1/30,,,,,,,The Ambitions of William Foster,Foster,,,
How High Is Up?,,Comedy,out.pdf (https://dl.airtable.com/fue7BW2xSZ2wVpXbJ04M_out.pdf),"Sampson (1977) gives the production company as Seminole, but newspapers from the period give the production company as Lincoln. See ""HOW HIGH IS UP"" IS NEWEST FILM: FAMOUS QUERY OF MOSS AND FRYE USED ...Jackson, J AAfro-American (1893-1988); Oct 19, 1923; The Baltimore Afro-American pg. 7--MP",Lincoln Motion Picture Company,1/1/22,10/1/23,,"Moss,Frye",,,,,Blacks in Black and White,,,,
Howard-Lincoln Football Game,,Actuality,out (1).pdf (https://dl.airtable.com/1SLSrnqRaOVvGeLeQBVX_out%20(1).pdf),"B53, F28, George P. Johnson CollectionWas not able to find the 1920 version of this film, but found mention of a film shown in 1923. See: Display ad 32 -- no title. (1923, Dec 14). Baltimore Afro-American.",Monumental Corporation,1/1/20,,,,,,,,George P. Johnson Negro Film Collection,,,,
In and Out,,Comedy,out (2).pdf (https://dl.airtable.com/ULNJIgGSW6mHiBuUGX8Q_out%20(2).pdf),"A PathÃ© short film. Foster's role is not clear. (Field 2016, 67).See review: Tyler, Geo. ""CLEVELAND THEATRES."" Afro-American (1893-1988), Dec 07, 1929.",PathÃ©,1/1/29,,,,,,,,The Ambitions of William Foster,Foster,,,
In the Depths of Our Hearts,,Drama,out (3).pdf (https://dl.airtable.com/8FC3hVfOSdikpEiW07RU_out%20(3).pdf),"Box 53, F28, George P. Johnson Collection.See ad: The Chicago Defender (Big Weekend Edition) (1905-1966), Oct 30, 1920. 5.",Royal Gardens Motion Picture Company,1/1/20,,5,"Williams,Williams,Conn,DeLa Valade",,,,,"Blacks in Black and White,George P. Johnson Negro Film Collection",,,,
Jack Johnson vs. Jim Flynn,,Boxing,Screen Shot 2016-05-09 at 5.03.08 PM.png (https://dl.airtable.com/fYGc92ggSB6El248Lv3A_Screen%20Shot%202016-05-09%20at%205.03.08%20PM.png),"jack Johnson fights Jim Flynn for the heavyweight boxing championship of the world in Los Vegas, New Mexico on July 4, 1912.Unable to verify with primary sources. --MP","""Johnson-Flynn Feature Film Co., Inc.""",7/4/12,,,"Johnson,Flynn",,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Jamaica Negroes Doing a Two Step,,"Actuality,Newsreel",MPW01-1907-06_0001.jpg (https://dl.airtable.com/yRSq7VcYSoefLRIvJhXe_MPW01-1907-06_0001.jpg),"Unrehearsed footage of blacks doing a dance. --HGAdvertisement: Moving Picture World, June 1 1907, p. 194.",Edison,1/1/07,,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,Edison
John Henry at Hampton: A Kind of Student Who Makes Good,John Henry's Four Years at Hampton,Documentary ,out (4).pdf (https://dl.airtable.com/DlpEZhmR4mUZ0wrgX1Cz_out%20(4).pdf),"""MOVING PICTURE STORY."" Afro-American (1893-1988), Jul 26, 1913. 7.",Hampton Institute,1/1/13,7/1/13,,,,"Folsom,Miner",Miner,,Uplift Cinema: The Emergence of African American Film and the Possibility of Black Modernity,,,,
Kinky,,Comedy,exhibitor00newy_0264.jpg (https://dl.airtable.com/85mskZB6QRSf99UoPAhO_exhibitor00newy_0264.jpg),"Cast: Black BoyAdvertisement: MPW, Sept. 22, 1923, p. 298.",Educational Film Corporation,1/1/23,,1,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Laughing Ben,,Comedy,clipper52-1904-07_0109.jpg (https://dl.airtable.com/QoglUNwvSaGqohxSbh8z_clipper52-1904-07_0109.jpg),"FLA 3194New York Clipper, July 30, 1904, p. 532.",American Mutoscope/Biograph,1/1/03,,1,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Let's Do the Black Bottom ,,"Newsreel,Documentary ",clipping_5213350.pdf (https://dl.airtable.com/WE8rLBDTAmdYHrfBwZIg_clipping_5213350.pdf),"Development of the Black Bottom dance featuring blacks.The Davenport Democrat and Leader (Davenport, Iowa) Â· Fri, Mar 4, 1927 Â· Page 21",Castle Films,1/1/26,,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Lincoln Pictorial ,,"Newsreel,Documentary ",,Views of the black community of Los Angeles.,Lincoln Motion Picture Company,1/1/18,,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Love Mart,Louisiana,Drama,motionp36moti_0936.jpg (https://dl.airtable.com/Ckk4FdZSluTXig1AecF6_motionp36moti_0936.jpg),"Motion Picture News, Dec. 23, 1927",First National,1/1/27,1/1/27,,"Baker,Curry,Dove,Berry,Roland",,Fitzmaurice,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Love and Undertakers,,Comedy,,"Cast: Montgomery and his wifeUnable to find mention of this film in the press. --MP",Colored and Indian Film Corporation,1/1/18,,1,,,"Michaels,Montgomery",,,"Blacks in Black and White,""African American Films Through 1959: A Comprehensive, Illustrated Filmography"",George P. Johnson Negro Film Collection",,,,
"Love Me, Love My Dog",,Comedy,clipping_5213681.pdf (https://dl.airtable.com/0cn3VzStO5UwM4ajTsTQ_clipping_5213681.pdf),"Sampson (1977) gives the production company as the Afro-American Film Company, and the date as 1914, but this appears to be a 1913 Apollo comedy. --MP",Apollo,1/1/13,,,,,Haynes,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Lovie Joe's Romance,,Comedy,,"Unable to verify, but found reference to an article in Indianapolis Freeman, March 28, 1914. --MP",Afro-American Film Company,1/1/14,,,"Kelly,Wiley,Carter",,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Loyal Hearts,Injustice,Drama,out (6).pdf (https://dl.airtable.com/GwFTTXZlQlaejuEdODIz_out%20(6).pdf),"Box 4, Bookertee Film Exchange folder, GPJ Collection --MP""LOYAL HEARTS"". (1920, May 01). The Chicago Defender (Big Weekend Edition) (1905-1966)  --MP","Democracy Photoplay Corporation,Loyalty Film Company,Democracy Film Corporation",1/1/19,1/1/19,5,"Dones,Kalana,Doanes",Dones,,,File:Injustice_%281919%29_%28Loyal_Hearts%29_-_Ad_1.jpg (https://dl.airtable.com/1qDlVjZVRFqvox5yz6R2_File%3AInjustice_%25281919%2529_%2528Loyal_Hearts%2529_-_Ad_1.jpg),"George P. Johnson Negro Film Collection,Blacks in Black and White,Slow Fade to Black",,,,Bookertee Film Company
Making Negro Lives Count,,Documentary ,outlook.png (https://dl.airtable.com/18nuE5DTvy05UHFNtlLn_outlook.png),"The Outlook (New York), May 12, 1915, p. 56.",Hampton Institute,1/1/15,1/30/15,,,,"Folsom,Miner",Bock,,Uplift Cinema: The Emergence of African American Film and the Possibility of Black Modernity,,,,
Mandy's Choice,,Comedy,out (7).pdf (https://dl.airtable.com/TqVirwUMQ6G32gN64WjQ_out%20(7).pdf),"Langston, Tony. ""REVIEW OF THE THEATERS."" The Chicago Defender (Big Weekend Edition) (1905-1966), May 16, 1914.",Afro-American Film Company,1/1/14,,,"Gilpin,Harper,Green ",,Haynes,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Marcus Garland,,Drama,,"Dispute over whether this film was actually produced; see Musser et al. filmography in Bowser et al., p. 276.Unable to verify exhibition (although mention is made of production). --MP",Micheaux Film Corporation,1/1/28,1/1/28,,Birdsong,Micheaux,Micheaux,,,"Envisioning Freedom: Cinema and the Building of Modern Black Life,Slow Fade to Black,Oscar Micheaux and His Circle",Micheaux,,"""Possibly a burlesque on Marcus Garvey"" (Cripps, 191) --MP",Micheaux Film Corporation
Money Talks in Darktown,,Comedy,out (8).pdf (https://dl.airtable.com/4CugZh3qSTSHBnVxazTv_out%20(8).pdf),"""THE HAMMER MISSES NEW YORK."" The Chicago Defender (Big Weekend Edition) (1905-1966), Jul 08, 1916. Reviled among African American audiences. --MP",Historical Feature Films,1/1/16,,,"Marshall,McClain,Montgomery,Murphy",,,,,Migrating to the Movies: Cinema and Black Urban Modernity,,,,Ebony Film Corporation
Mother,,Drama,out (12).pdf (https://dl.airtable.com/yhKds5PSbeZClsjqrRVw_out%20(12).pdf),"Display ad 52 -- no title. (1918, Aug 17). The Chicago Defender (Big Weekend Edition). --MP",Foster Photoplay Company,1/1/18,1/1/18,,,Foster,Foster,,,The Ambitions of William Foster,,,,
Mr. Carlson of Arizona,,Western,"""image_681x648_from_1589,4071_to_2405,4848.jpg (https://dl.airtable.com/HZoR43moQNyXphilfJzM_image_681x648_from_1589%2C4071_to_2405%2C4848.jpg)""","Harrisburg telegraph. (Harrisburg, Pa.) 1879-1948, April 21, 1915, Page 6 --MP",Lubin Manufacturing Company,1/1/15,1/1/15,2,"Johnson,Fielding",Johnson,,,,,,,http://chroniclingamerica.loc.gov/lccn/sn85038411/1915-04-21/ed-1/seq-6/,
Negro Soldiers Fighting for Uncle Sam,,,,"Unable to verify. --MP",Peter P. Jones Photoplay Ltd.,1/1/18,,,,,,Jones,,The Documentary Film Reader,,,,
Nine Lives,,Comedy,out (21).pdf (https://dl.airtable.com/wsPAvRhHTy6vzRFBKvj9_out%20(21).pdf),"""BUTTERBEANS AND SUSIE LEAD PARADE."" The Chicago Defender (National Edition) (1921-1967), Jul 17, 1926.Not clear that this was ever produced. --MP",Colored Motion Picture Producers of America,,,,,,,,,George P. Johnson Negro Film Collection,,,,
Nobody's Children,Our Christianity and Nobody's Children,Drama,"out (22).pdf (https://dl.airtable.com/ziEFhuLaTRKO87IpetxH_out%20(22).pdf),out (23).pdf (https://dl.airtable.com/qpyBdq8HRuCqapyuj177_out%20(23).pdf),out (24).pdf (https://dl.airtable.com/fWO1uERURCmgyKZbjmms_out%20(24).pdf)","GPJ Box 53, F28.""NEW FILM CO."" The Chicago Defender (Big Weekend Edition) (1905-1966), Jul 24, 1920.""Display Ad 23 -- no Title."" The Chicago Defender (Big Weekend Edition) (1905-1966), Aug 07, 1920.",Maurice Film Company,1/1/20,,6,"Maurice,Farmer,Griffin,Green,Maurice,Nelson",,,,,George P. Johnson Negro Film Collection,,,,
Othello,,,,"According to Cripps, this film was probably never made: a Lincoln representative said that it looked like a ""swindling joint"" (85).",Delight Films,,,,,,,,,Slow Fade to Black,,,,
Our Colored Fighters,,,,"B53, F28. Described as a government film",Downing Film Company,,,,,,,,,George P. Johnson Negro Film Collection,,,,
Paul J. Rainey's African Hunt,Paul J. Rainey's Jungle Pictures,Actuality,,,Jungle Film Company,1/1/12,,,"Rainey,Hemment",,Rainey,,2002736523 (https://dl.airtable.com/qxl3PPR9TZiClMmciQqs_2002736523),"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,http://www.loc.gov/pictures/item/2002736523/,
Peacock News Reel #1,,Actuality,,,Peacock Photoplay Company,1/1/21,,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Peacock News Reel #2,,Actuality,,,Peacock Photoplay Company,1/1/22,,,"Gourdin,Parlam",,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Pickaninnies and Watermelon,,Actuality,,,Imp,1/1/12,,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Pickaninny's Dance,,Actuality,,,American Mutoscope/Biograph,1/1/03,,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Pickin' Cotton,,Actuality,,,Tiffany Film Company,1/1/30,,,Forbes Randolf Kentuck Jubilee Singers,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Pie Eating Contest,,"Actuality,Newsreel",,,American Mutoscope/Biograph,1/1/03,,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Pompey's Honey Girl,,,,,American Mutoscope/Biograph,1/1/05,,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Porters' Parade,,Newsreel,,,American Mutoscope/Biograph,1/1/03,,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Prize Drill Team,,Newsreel,,,Colored and Indian Film Corporation,1/1/19,,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Progress of the Negro,50 Years of Freedom,,out (17).pdf (https://dl.airtable.com/hPixiOyTUaMu2p2uCDQ3_out%20(17).pdf),"""Display Ad 18 -- no Title."" The Chicago Defender (Big Weekend Edition) (1905-1966), Oct 02, 1915. --MPSampson gives the date as 1916, but I believe he's referring to this film, which was released in 1915. --MP",Peter P. Jones Photoplay Ltd.,1/1/15,10/1/15,,,Jones,Jones,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Pythian Conclave and League Parley,,"Actuality,Newsreel",,,Madam C.J. Walker Manufacturing Company,1/1/30,,,,,Walker,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Pythian Parade and 19th Biannual Encampment,,Actuality,,,Charles H. Turpin,1/1/20,,,,,Turpin,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Rakoon Hose Company,,,,,Lubin Manufacturing Company,1/1/13,8/3/15,,"Edwards,Scott,Edwards,Roseborough",Lubin,Louis,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Rastus Among the Zulus,,,,,Lubin Manufacturing Company,1/1/13,7/28/13,,,Lubin,Lubin,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Rastus Knew It Wasn't,,,,,Lubin Manufacturing Company,1/1/14,9/14/14,,"Edwards,Byron,Paige,Lawrence",Lubin,Lubin,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
